week,team_id,team,overall_eff,off_eff,def_eff,school,conference,color,logo
7,2006,Akron,16.479,19.713,23.858999999999998,Akron,Mid-American,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
7,166,New Mexico St,13.084999999999999,16.367,21.125,New Mexico State,FBS Independents,#891216,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png
7,113,UMass,10.992,10.937,25.812,UMass,FBS Independents,#880007,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png
7,2229,FIU,7.846,10.93,12.078,Florida International,Conference USA,#001538,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
8,194,Ohio State,94.402,96.542,82.67099999999999,Ohio State,Big Ten,#DE3121,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
8,333,Alabama,90.205,83.93,85.72,Alabama,SEC,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
8,61,Georgia,90.577,84.747,89.75,Georgia,SEC,#CC0000,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
8,130,Michigan,88.369,85.408,77.034,Michigan,Big Ten,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
8,2633,Tennessee,87.26,90.335,63.821000000000005,Tennessee,SEC,#EE9627,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
8,251,Texas,82.234,79.06400000000001,70.853,Texas,Big 12,#EE7524,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
8,228,Clemson,79.398,74.134,70.76599999999999,Clemson,ACC,#F66733,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
8,254,Utah,78.157,79.73700000000001,67.331,Utah,Pac-12,#890012,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
8,99,LSU,78.52900000000001,78.791,74.802,LSU,SEC,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
8,30,USC,83.831,92.28,52.675000000000004,USC,Pac-12,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
8,213,Penn State,79.39699999999999,65.81099999999999,79.381,Penn State,Big Ten,#00265D,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
8,145,Ole Miss,78.069,83.68299999999999,56.24,Ole Miss,SEC,#001148,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
8,2483,Oregon,82.05799999999999,89.405,56.56099999999999,Oregon,Pac-12,#044520,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
8,197,Oklahoma St,78.521,70.67999999999999,70.151,Oklahoma State,Big 12,#FF6500,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
